EmployeeID,Department,JobRole,Gender,Age,MaritalStatus,Education,Salary,YearsAtCompany,PerformanceRating,TrainingHours,DistanceFromHome,OverTime,ProjectTasks,Promotion,Attrition,HireDate,SalaryBand,AgeGroup,TenureGroup
1001,Human Resources,HR Executive,Female,39,Single,Bachelor's,55600.0,6,2,37,1,No,13,Yes,No,2017-05-31,Medium (45K-65K),36-45,4-7 yrs
1002,Sales,Sales Executive,Male,44,Divorced,Bachelor's,54200.0,6,4,31,1,Yes,9,No,No,2017-09-12,Medium (45K-65K),36-45,4-7 yrs
1003,Operations,Operations Manager,Female,37,Divorced,High School,64700.0,2,4,11,7,No,10,Yes,No,2021-07-13,Medium (45K-65K),36-45,2-3 yrs
1004,Human Resources,HR Executive,Male,28,Married,Bachelor's,51000.0,2,3,30,5,No,14,No,No,2021-06-22,Medium (45K-65K),26-35,2-3 yrs
1005,Human Resources,Recruiter,Male,30,Married,Master's,56900.0,4,5,41,1,No,9,Yes,No,2019-09-08,Medium (45K-65K),26-35,4-7 yrs
1006,Marketing,Marketing Executive,Female,43,Married,Master's,69200.0,0,3,24,5,No,11,No,No,2023-09-16,High (65K-90K),36-45,0-1 yrs
1007,Marketing,Content Strategist,Female,42,Single,Master's,68000.0,1,4,21,6,No,12,No,No,2022-08-16,High (65K-90K),36-45,0-1 yrs
1008,Finance,Finance Manager,Male,42,Single,Master's,113300.0,12,2,24,2,No,5,Yes,No,2011-03-20,Very High (90K+),36-45,8+ yrs
1009,Customer Support,Support Executive,Female,30,Married,Bachelor's,43000.0,1,5,55,1,Yes,14,No,Yes,2022-04-01,Low (<45K),26-35,0-1 yrs
1010,Marketing,Content Strategist,Female,42,Single,Master's,76600.0,6,3,36,1,No,9,No,No,2017-12-09,High (65K-90K),36-45,4-7 yrs
1011,Human Resources,HR Executive,Female,37,Single,Master's,54100.0,2,3,54,2,No,16,No,No,2021-08-26,Medium (45K-65K),36-45,2-3 yrs
1012,Sales,Account Manager,Female,26,Married,Bachelor's,102600.0,5,3,24,9,No,11,No,No,2018-10-14,Very High (90K+),26-35,4-7 yrs
1013,Operations,Operations Executive,Female,38,Divorced,Master's,66000.0,7,3,63,5,No,10,Yes,No,2016-08-03,High (65K-90K),36-45,4-7 yrs
1014,Finance,Financial Analyst,Male,34,Divorced,Bachelor's,58900.0,0,5,18,5,No,16,No,No,2023-11-05,Medium (45K-65K),26-35,0-1 yrs
1015,Customer Support,Support Team Lead,Male,33,Single,Bachelor's,63700.0,2,4,45,2,Yes,11,Yes,No,2021-04-04,Medium (45K-65K),26-35,2-3 yrs
1016,Engineering,Senior Engineer,Female,31,Divorced,Phd,168000.0,0,3,47,16,No,16,No,No,2023-03-31,Very High (90K+),26-35,0-1 yrs
1017,Finance,Finance Manager,Male,30,Married,Phd,138900.0,11,4,47,13,No,10,Yes,No,2012-12-02,Very High (90K+),26-35,8+ yrs
1018,Customer Support,Support Executive,Female,41,Single,Bachelor's,39700.0,0,3,59,15,No,10,No,Yes,2023-12-16,Low (<45K),36-45,0-1 yrs
1019,Customer Support,Support Executive,Male,35,Divorced,Bachelor's,40900.0,2,3,36,1,Yes,13,No,No,2021-05-04,Low (<45K),26-35,2-3 yrs
1020,Finance,Accountant,Female,33,Married,Bachelor's,66200.0,1,2,25,28,No,17,No,Yes,2022-12-05,High (65K-90K),26-35,0-1 yrs
1021,Human Resources,HR Executive,Male,20,Single,Bachelor's,46000.0,1,4,39,7,Yes,9,Yes,No,2022-09-30,Medium (45K-65K),18-25,0-1 yrs
