EmployeeID,Department,JobRole,Gender,Age,MaritalStatus,Education,Salary,YearsAtCompany,PerformanceRating,TrainingHours,DistanceFromHome,OverTime,ProjectTasks,Promotion,Attrition,HireDate
1769,Sales, Account Manager  ,Male,49.0,Single,Master's,95600.0,2,3.0,17.0,2,Yes,11,No,No,2021-12-23
1808,Finance,Accountant,Male,41.0,Single,Bachelor's,70100.0,1,3.0,33.0,10,No,4,No,No,2022-05-24
2166,MARKETING,Marketing Manager,female,40.0,Divorced,PhD,114900.0,0,4.0,49.0,15,No,10,No,No,2023-04-25
2098,Human Resources,HR Executive,Female,23.0,Single,Bachelor's,50400.0,0,4.0,15.0,7,No,10,No,No,2023-12-26
1234,Human Resources,HR Manager,Male,40.0,Single,Master's,77300.0,3,2.0,63.0,3,No,10,No,Yes,2020-07-16
2323,Customer Support,Support Team Lead,Female,59.0,Married,Bachelor's,58100.0,1,3.0,39.0,1,No,6,No,No,2022-08-28
2064,Finance,Accountant,Male,36.0,Divorced,Bachelor's,83500.0,12,2.0,31.0,2,No,10,No,No,2011-11-11
1123,Sales,Sales Executive,Male,58.0,Married,Master's,66400.0,0,5.0,40.0,1,Yes,11,No,No,2023-06-10
1256,Human Resources,HR Manager,Female,24.0,Single,Bachelor's,68600.0,2,2.0,38.0,8,No,15,No,Yes,2021-11-07
2306,Operations,Operations Manager,Male,34.0,Single,PhD,91300.0,0,,28.0,22,No,12,No,No,2023-06-17
1353,Operations,Operations Manager,male,40.0,Single,Bachelor's,72000.0,2,3.0,47.0,2,No,6,No,No,2021-07-10
1135,Customer Support,Support Executive,Male,36.0,Married,Bachelor's,53600.0,18,2.0,37.0,1,Yes,5,No,No,2005-04-21
1861,Engineering,Engineering Manager,Female,33.0,Single,PhD,168200.0,4,2.0,54.0,4,No,9,No,No,2019-12-27
1132,Finance,Accountant,Female,27.0,Divorced,High School,61300.0,2,4.0,51.0,4,No,6,No,No,2021-10-18
2262,Human Resources,HR Executive,Female,38.0,Divorced,Bachelor's,52600.0,3,3.0,44.0,8,No,3,No,No,2020-09-16
2214,Finance,Financial Analyst,Female,20.0,Divorced,Bachelor's,64800.0,2,2.0,48.0,10,No,22,No,No,2021-08-27
2460,Marketing,Marketing Manager,Male,30.0,Married,Bachelor's,74200.0,0,4.0,38.0,1,No,9,Yes,No,2023-12-21
2174,FINANCE,Accountant,Female,40.0,Single,Master's,78700.0,1,5.0,35.0,12,No,6,No,No,2022-06-21
1258,Engineering,QA Engineer,Male,35.0,Married,Master's,106800.0,6,5.0,36.0,1,No,12,No,No,2017-09-19
1825,Finance, Accountant  ,Male,31.0,Married,Bachelor's,69400.0,2,3.0,6.0,8,No,8,No,No,2021-11-15
2264,Customer Support,Support Team Lead,Female,27.0,Divorced,Master's,70600.0,1,,36.0,19,No,15,No,No,2022-06-16
2339,Human Resources,HR Executive,Male,34.0,Married,Bachelor's,58000.0,5,4.0,54.0,3,No,11,No,Yes,2018-09-28
2379,Customer Support,Support Executive,Male,32.0,Married,Bachelor's,42900.0,1,4.0,22.0,1,No,7,No,No,2022-06-09
1741,Operations,Operations Manager,Male,38.0,Married,Master's,99000.0,6,5.0,41.0,11,No,6,Yes,No,2017-04-20
1701,Human Resources,HR Executive,Male,40.0,Divorced,Bachelor's,54900.0,2,5.0,31.0,1,No,7,No,No,2021-07-22
1690,Sales,Sales Executive,Female,43.0,Single,High School,57000.0,10,4.0,22.0,32,No,12,No,No,2013-11-18
1347,Sales,Sales Executive,Female,46.0,Single,Master's,59600.0,2,3.0,60.0,4,No,16,No,No,2021-06-06
1427,Customer Support,Support Executive,Male,40.0,Single,Bachelor's,44500.0,1,3.0,17.0,11,No,12,No,No,2022-10-28
1879,Operations,Operations Executive,Female,26.0,Divorced,Bachelor's,61000.0,7,3.0,18.0,4,No,11,No,No,2016-06-23
1368,IT,IT Support,Male,36.0,Single,Master's,74800.0,3,3.0,15.0,1,No,5,No,No,2020-04-09
1766,Engineering,QA Engineer,Female,42.0,Divorced,Master's,95500.0,0,2.0,25.0,32,No,7,No,No,2023-06-06
